gene,cluster_1,cluster_2,cluster_3
akap8,0.169582908,0.173245466,0.129807182
akap8l,0.11650484,0.15870455,0.056823514
wiz,0.074065668,0.047948275,0.057146617
rasal3,0.459599763,0.330850334,0.045104885
pglyrp2,0.243761441,0.222129723,0.026736325
cyp4f16,0.009796895,0.074659427,0.016164111
zfp871,0.148629924,0.134490008,0.10084763
zfp799,0.011121369,0.010917778,0.020268336
zfp870,0.007432686,0.016314499,0.014154246
cyp4f13,0.029681644,0.067739641,0.053994694
zfp472,0.053722094,0.062631922,0.033692627
zfp952,0.025198897,0.036138237,0.028398431
zfp763,0.014654498,0.009917653,0.002942339
zfp563,0.00892567,0.004554628,0.005457493
zfp955a,0.010544202,0.01200256,0.000661996
zfp955b,0.001315026,0.003830679,0.006932457
zfp81,0.015880685,0.026143142,0.006458693
zfp101,0.020264688,0.03801636,0.011842549
adamts10,0.104768461,0.103593024,0.012223961
myo1f,0.408793341,0.356447382,0.064257317
zfp414,0.134340463,0.084843774,0.073987551
pram1,0,0,0.001966181
hnrnpm,0.770454496,0.642397204,0.565676419
2-Mar,0.56784405,0.401964222,0.350290135
rab11b,0.569141146,0.559492199,0.604063201
angptl4,0.052572205,0.029583259,0.003341823
kank3,0.010250346,0.01796187,0.026397426
rps28,3.007052604,2.855615814,2.716358022
ndufa7,1.238442202,1.114257764,1.134881456
cd320,0.066735223,0.063846419,0.02021448
kifc1,0.008795791,0.007201646,0.007342336
platr17,0.02983386,0.00844874,0.029341511
bc051226,0.035307755,0.033459706,0.02320425
daxx,0.224638019,0.176231858,0.20843999
tapbp,0.938108069,0.97859357,1.384043413
zbtb22,0.063263799,0.060130163,0.075581553
gm19412,0.012553653,0.02485722,0.010662871
rgl2,0.084137748,0.09069992,0.055672412
pfdn6,0.517817138,0.596440487,0.383186632
wdr46,0.108330047,0.09594053,0.037349925
b3galt4,0.099466864,0.066153986,0.031647356
rps18,4.127120489,4.048850464,3.323135215
vps52,0.125336944,0.081303338,0.084032997
h2.k1,3.235839117,3.477713219,3.227377885
ring1,0.146887052,0.130345317,0.122296821
h2.ke6,0.246438826,0.338037332,0.096944114
slc39a7,0.216294239,0.213421189,0.10610676
rxrb,0.113226441,0.107543382,0.097879411
col11a2,0.001067751,0.003122361,0
h2.oa,0.088376565,0.069899202,0.259540357
brd2,0.352344202,0.322877094,0.51185236
h2.dma,0.291613914,0.418818473,0.897283269
h2.dmb2,0.02144473,0.032601758,0.44090776
h2.dmb1,0.105136577,0.205630689,0.411204297
psmb9,1.540354667,1.140451853,1.949603249
tap1,1.045281458,0.627750293,1.177772188
psmb8,2.432742009,2.147071936,2.931219678
gm20496,0,0,0
tap2,0.83184706,0.531480286,0.76858045
h2.ob,0.017409471,0.027485148,0.165237205
gm20506,0,0.000985194,0.005099798
h2.ab1,0.603219745,0.844133179,2.041940151
h2.aa,0.500862223,0.65164202,3.273326367
gm20513,0.000652066,0.000720071,0.013065265
h2.eb1,0.389252807,0.489037736,2.710396203
h2.eb2,0,0.002499562,0.19131042
btnl2,0,0.001017217,0
bc051142,0,0.000454081,0
notch4,0,0.001792456,0.001692845
gpsm3,1.169017586,1.243146192,0.743352185
pbx2,0.05221462,0.054093423,0.060988956
ager,0,0.002588013,0.005271894
rnf5,0.215769782,0.219008321,0.249899187
agpat1,0.055928558,0.026077964,0.098372948
egfl8,0.008213642,0.006106065,0.008233809
ppt2,0.147682968,0.166230949,0.03737148
prrt1,0.020290789,0.051567905,0.001527968
fkbpl,0.049324869,0.045389904,0.041658002
atf6b,0.173461995,0.160305338,0.136824795
c4b,0,0.006292042,0.002329222
stk19,0.216398624,0.19351334,0.315454502
dxo,0.084997686,0.090146976,0.160913509
skiv2l,0.112211712,0.109539831,0.090354676
nelfe,0.175172539,0.167915372,0.290016051
cfb,0,0.0071272,0.021030808
c2,0.000654763,0.000947814,0.001564
zbtb12,0.019963925,0.010990519,0.020623081
ehmt2,0.176566773,0.109026364,0.208839962
neu1,0.145558618,0.138471278,0.125484514
hspa1b,0.035853566,0.012963323,0.023202737
hspa1a,0.102210899,0.05297357,0.318586946
hspa1l,0,0.000176567,0.005207182
gm10501,0.000872596,0,0
lsm2,0.344648137,0.330365985,0.201174076
vars,0.256290862,0.31124794,0.062527497
sapcd1,0,0.007776581,0
msh5,0.020046072,0.018861692,0.003362699
clic1,2.290582461,2.359661583,1.466306274
ddah2,0.026105403,0.015009596,0.039299503
abhd16a,0.171342873,0.173129352,0.214886558
ly6g5b,0.03658879,0.00603236,0.002027104
csnk2b,1.202055554,0.846094641,0.802700627
gpank1,0.189846604,0.22942581,0.247273312
gm20522,0.009122283,0.003785454,0.008550602
d17h6s53e,0.031120766,0.025165851,0.029141966
bag6,0.233952501,0.150679031,0.154747557
prrc2a,0.215690714,0.178166218,0.179430892
aif1,0.09440174,0.165939063,0.582623939
lst1,0.114276459,0.132071076,0.337941042
ltb,1.935834326,1.472501029,0.199120473
tnf,0.092157564,0.032002453,0.022757301
lta,0.052932198,0.032172491,0.007507687
nfkbil1,0.292448585,0.149217723,0.135004491
gm16181,0.007137743,0.000731069,0
atp6v1g2,0.026997515,0.021169587,0.002476804
ddx39b,0.728016579,0.640476984,0.38182058
h2.d1,3.448431642,3.792884948,3.669859448
h2.q2,0.005017183,0.005919759,0.001523787
gm11131,0.040693414,0.029144032,0.035824735
h2.q4,0.5593078,0.841995852,0.920964274
h2.q6,0.708435439,1.115590083,1.424357772
h2.q7,2.085202137,2.350413237,1.946264331
h2.q10,0.084361715,0.066317637,0.056521425
pou5f1,0.002665562,0.003174622,0.017314618
tcf19,0.07691997,0.03124161,0.017001489
cchcr1,0.044726304,0.022490354,0.019741927
vars2,0.019075069,0.019965639,0.011667403
gtf2h4,0.111425267,0.101193496,0.04429252
ddr1,0.013788357,0.002179943,0.02368489
ier3,0.122812321,0.062861824,0.139200451
flot1,0.270178938,0.251045144,0.259021225
